GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
supershopcart,com.supershopcart,SupershopcartApplication,31,3,0,0,8,1,1,1,1,1
supershopcart,com.supershopcart.config,FirebaseConfig.NoCredentials,9,7,0,0,1,2,1,2,1,2
supershopcart,com.supershopcart.config,SecurityConfig,0,50,0,0,0,11,0,5,0,5
supershopcart,com.supershopcart.config,FirebaseConfig,62,359,17,13,15,107,11,9,0,5
supershopcart,com.supershopcart.seeder,ShopCartSeeder,36,324,0,0,9,47,0,3,0,3
supershopcart,com.supershopcart.dtos,ShopCartDetailDTO,0,157,0,0,0,31,0,29,0,29
supershopcart,com.supershopcart.dtos,ShopperSummaryDTO,0,39,0,0,0,11,0,8,0,8
supershopcart,com.supershopcart.dtos,ShareCartRequestDTO,0,36,0,0,0,12,0,8,0,8
supershopcart,com.supershopcart.dtos,ShopCartSummaryDTO,0,60,0,2,0,13,0,3,0,2
supershopcart,com.supershopcart.utils,RefreshTokenCleanupJob,0,57,0,2,0,16,0,4,0,3
supershopcart,com.supershopcart.security.filter,JwtAuthFilter,12,109,0,12,3,33,0,8,0,2
supershopcart,com.supershopcart.enums,ShopCartState,0,33,0,0,0,6,0,1,0,1
supershopcart,com.supershopcart.enums,SharePermission,4,21,0,0,1,4,1,1,1,1
supershopcart,com.supershopcart.controllers,AdminController,0,123,0,4,0,37,0,8,0,6
supershopcart,com.supershopcart.controllers,ShopCartController,0,196,0,4,0,37,0,7,0,5
supershopcart,com.supershopcart.controllers,AuthController,4,366,8,34,1,78,8,18,0,5
supershopcart,com.supershopcart.security,GoogleTokenVerifier,0,70,0,2,0,23,0,5,0,4
supershopcart,com.supershopcart.services,ShopCartService,12,257,2,22,4,62,2,19,0,9
supershopcart,com.supershopcart.services,JwtTokenService.TokenPair,0,15,0,0,0,6,0,3,0,3
supershopcart,com.supershopcart.services,JwtTokenService,84,410,10,56,27,101,10,39,0,16
supershopcart,com.supershopcart.services,FirestoreService,124,613,21,61,29,141,20,34,0,13
supershopcart,com.supershopcart.services,ShopperService,0,59,0,2,0,16,0,8,0,7
supershopcart,com.supershopcart.models,ShopCart,26,506,9,39,4,105,11,69,2,54
supershopcart,com.supershopcart.models,RefreshToken,0,43,0,0,0,18,0,9,0,9
supershopcart,com.supershopcart.models,GroceryItem,2,112,3,9,0,24,3,15,0,12
supershopcart,com.supershopcart.models,SharePermissionEntry,2,70,2,8,0,14,2,11,0,8
supershopcart,com.supershopcart.models,Shopper,29,159,1,13,1,29,2,23,1,17
supershopcart,com.supershopcart.repositories,ShopperRepositoryImpl,12,153,6,10,4,37,7,9,1,7
supershopcart,com.supershopcart.repositories,ShopCartRepositoryImpl,10,122,4,10,3,31,5,9,1,6
